root_real, root_imag, berr, cond
       2.83E-01,       8.13E-01,       8.17E-19,       2.36E+01
       3.54E-02,       8.53E-01,       3.85E-18,       3.02E+01
      -2.11E-01,       8.22E-01,       2.50E-18,       3.64E+01
      -4.38E-01,       7.22E-01,       2.45E-18,       4.17E+01
      -7.60E-01,       3.58E-01,       1.61E-18,       4.90E+01
      -8.30E-01,       1.23E-01,       2.95E-18,       5.05E+01
      -8.30E-01,      -1.23E-01,       1.44E-18,       5.05E+01
      -7.60E-01,      -3.58E-01,       4.22E-18,       4.90E+01
      -6.26E-01,      -5.63E-01,       3.33E-19,       4.60E+01
      -4.38E-01,      -7.22E-01,       2.45E-18,       4.17E+01
      -2.11E-01,      -8.22E-01,       2.50E-18,       3.64E+01
       3.54E-02,      -8.53E-01,       5.09E-18,       3.02E+01
       2.83E-01,      -8.13E-01,       4.17E-18,       2.36E+01
       5.12E-01,      -7.03E-01,       3.65E-18,       1.69E+01
       7.06E-01,      -5.32E-01,       3.24E-18,       1.04E+01
       8.53E-01,      -3.09E-01,       1.06E-17,       4.75E+00
      -6.26E-01,       5.63E-01,       3.33E-19,       4.60E+01
       8.53E-01,       3.09E-01,       1.06E-17,       4.75E+00
       7.06E-01,       5.32E-01,       3.24E-18,       1.04E+01
       5.12E-01,       7.03E-01,       3.65E-18,       1.69E+01
